word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
obfuscate,0,0,0,,,,,0,2.5,1,0
bolster,0,0,0,,,,,0,2.5,1,0
abrogate,0,0,0,,,,,0,2.5,1,0
cajole,0,0,0,,,,,0,2.5,1,0
capricious,0,0,0,,,,,0,2.5,1,0
conundrum,0,0,0,,,,,0,2.5,1,0
austere,0,0,0,,,,,0,2.5,1,0
copious,0,0,0,,,,,0,2.5,1,0
vociferous,0,0,0,,,,,0,2.5,1,0
hackneyed,0,0,0,,,,,0,2.5,1,0
despot,0,0,0,,,,,0,2.5,1,0
capitulate,0,0,0,,,,,0,2.5,1,0
