word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
precocious,1750248911583,1,1,,,,,0,2.5,1,0
conciliatory,0,0,0,,,,,0,2.5,1,0
cursory,0,0,0,,,,,0,2.5,1,0
conundrum,0,0,0,,,,,0,2.5,1,0
complacent,0,0,0,,,,,0,2.5,1,0
ephemeral,0,0,0,,,,,0,2.5,1,0
abrogate,0,0,0,,,,,0,2.5,1,0
eschew,0,0,0,,,,,0,2.5,1,0
obfuscate,0,0,0,,,,,0,2.5,1,0
bolster,0,0,0,,,,,0,2.5,1,0
austere,0,0,0,,,,,0,2.5,1,0
admonish,0,0,0,,,,,0,2.5,1,0
capricious,0,0,0,,,,,0,2.5,1,0
capitulate,0,0,0,,,,,0,2.5,1,0
perfunctory,0,0,0,,,,,0,2.5,1,0
copious,0,0,0,,,,,0,2.5,1,0
garrulous,0,0,0,,,,,0,2.5,1,0
cajole,0,0,0,,,,,0,2.5,1,0
intractable,1750248932198,1,1,,,,,0,2.5,1,0
despot,0,0,0,,,,,0,2.5,1,0
acumen,0,0,0,,,,,0,2.5,1,0
quandary,0,0,0,,,,,0,2.5,1,0
ennui,0,0,0,,,,,0,2.5,1,0
circumspect,0,0,0,,,,,0,2.5,1,0
